Unnamed: 0,statement,label,city,country,correct_country,twoshot_prompt
19,The city of Lu'an is in Turkey.,0,Lu'an,Turkey,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Lu'an is in Turkey. This statement is:"
20,The city of Jiaxing is in China.,1,Jiaxing,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Jiaxing is in China. This statement is:"
21,The city of Jiaxing is in Ukraine.,0,Jiaxing,Ukraine,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Jiaxing is in Ukraine. This statement is:"
22,The city of Huaihua is in China.,1,Huaihua,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Huaihua is in China. This statement is:"
23,The city of Huaihua is in South Africa.,0,Huaihua,South Africa,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Huaihua is in South Africa. This statement is:"
24,The city of Anqing is in China.,1,Anqing,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Anqing is in China. This statement is:"
25,The city of Anqing is in Brazil.,0,Anqing,Brazil,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Anqing is in Brazil. This statement is:"
26,The city of Yingkou is in China.,1,Yingkou,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Yingkou is in China. This statement is:"
27,The city of Yingkou is in the Philippines.,0,Yingkou,the Philippines,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Yingkou is in the Philippines. This statement is:"
28,The city of Panshan is in China.,1,Panshan,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Panshan is in China. This statement is:"
29,The city of Panshan is in Japan.,0,Panshan,Japan,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Panshan is in Japan. This statement is:"
30,The city of Guatemala City is in Guatemala.,1,Guatemala City,Guatemala,Guatemala,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Guatemala City is in Guatemala. This statement is:"
31,The city of Guatemala City is in Croatia.,0,Guatemala City,Croatia,Guatemala,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Guatemala City is in Croatia. This statement is:"
32,The city of Bauchi is in Nigeria.,1,Bauchi,Nigeria,Nigeria,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bauchi is in Nigeria. This statement is:"
33,The city of Bauchi is in Iran.,0,Bauchi,Iran,Nigeria,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bauchi is in Iran. This statement is:"
34,The city of Tokyo is in Japan.,1,Tokyo,Japan,Japan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Tokyo is in Japan. This statement is:"
35,The city of Tokyo is in Pakistan.,0,Tokyo,Pakistan,Japan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Tokyo is in Pakistan. This statement is:"
36,The city of Mombasa is in Kenya.,1,Mombasa,Kenya,Kenya,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Mombasa is in Kenya. This statement is:"
37,The city of Mombasa is in India.,0,Mombasa,India,Kenya,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Mombasa is in India. This statement is:"
38,The city of Ulsan is in South Korea.,1,Ulsan,South Korea,South Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Ulsan is in South Korea. This statement is:"
39,The city of Ulsan is in South Africa.,0,Ulsan,South Africa,South Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Ulsan is in South Africa. This statement is:"
40,The city of Warangal is in India.,1,Warangal,India,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Warangal is in India. This statement is:"
41,The city of Warangal is in Yemen.,0,Warangal,Yemen,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Warangal is in Yemen. This statement is:"
42,The city of Tiruchirappalli is in India.,1,Tiruchirappalli,India,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Tiruchirappalli is in India. This statement is:"
43,The city of Tiruchirappalli is in Iraq.,0,Tiruchirappalli,Iraq,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Tiruchirappalli is in Iraq. This statement is:"
44,The city of Nowrangapur is in India.,1,Nowrangapur,India,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Nowrangapur is in India. This statement is:"
45,The city of Nowrangapur is in Vietnam.,0,Nowrangapur,Vietnam,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Nowrangapur is in Vietnam. This statement is:"
46,The city of Sambhaji Nagar is in India.,1,Sambhaji Nagar,India,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Sambhaji Nagar is in India. This statement is:"
47,The city of Sambhaji Nagar is in China.,0,Sambhaji Nagar,China,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Sambhaji Nagar is in China. This statement is:"
48,The city of Ajmer is in India.,1,Ajmer,India,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Ajmer is in India. This statement is:"
49,The city of Ajmer is in Russia.,0,Ajmer,Russia,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Ajmer is in Russia. This statement is:"
50,The city of Rohini is in India.,1,Rohini,India,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Rohini is in India. This statement is:"
51,The city of Rohini is in Russia.,0,Rohini,Russia,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Rohini is in Russia. This statement is:"
52,The city of Serang is in Indonesia.,1,Serang,Indonesia,Indonesia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Serang is in Indonesia. This statement is:"
53,The city of Serang is in Poland.,0,Serang,Poland,Indonesia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Serang is in Poland. This statement is:"
54,The city of Niigata is in Japan.,1,Niigata,Japan,Japan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Niigata is in Japan. This statement is:"
55,The city of Niigata is in Yemen.,0,Niigata,Yemen,Japan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Niigata is in Yemen. This statement is:"
56,The city of Marrakesh is in Morocco.,1,Marrakesh,Morocco,Morocco,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Marrakesh is in Morocco. This statement is:"
57,The city of Marrakesh is in Malaysia.,0,Marrakesh,Malaysia,Morocco,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Marrakesh is in Malaysia. This statement is:"
58,The city of Makati City is in the Philippines.,1,Makati City,the Philippines,the Philippines,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Makati City is in the Philippines. This statement is:"
59,The city of Makati City is in India.,0,Makati City,India,the Philippines,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Makati City is in India. This statement is:"
60,The city of Tirunelveli is in India.,1,Tirunelveli,India,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Tirunelveli is in India. This statement is:"
61,The city of Tirunelveli is in China.,0,Tirunelveli,China,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Tirunelveli is in China. This statement is:"
62,The city of Thane is in India.,1,Thane,India,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Thane is in India. This statement is:"
63,The city of Thane is in China.,0,Thane,China,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Thane is in China. This statement is:"
64,The city of Solapur is in India.,1,Solapur,India,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Solapur is in India. This statement is:"
65,The city of Solapur is in the United States.,0,Solapur,the United States,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Solapur is in the United States. This statement is:"
66,The city of Najafgarh is in India.,1,Najafgarh,India,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Najafgarh is in India. This statement is:"
67,The city of Najafgarh is in Brazil.,0,Najafgarh,Brazil,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Najafgarh is in Brazil. This statement is:"
68,The city of Borivli is in India.,1,Borivli,India,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Borivli is in India. This statement is:"
69,The city of Borivli is in Ukraine.,0,Borivli,Ukraine,India,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Borivli is in Ukraine. This statement is:"
70,The city of Zhabei is in China.,1,Zhabei,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Zhabei is in China. This statement is:"
71,The city of Zhabei is in Afghanistan.,0,Zhabei,Afghanistan,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Zhabei is in Afghanistan. This statement is:"
72,The city of Liaocheng is in China.,1,Liaocheng,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Liaocheng is in China. This statement is:"
73,The city of Liaocheng is in South Korea.,0,Liaocheng,South Korea,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Liaocheng is in South Korea. This statement is:"
74,The city of Jiaozhou is in China.,1,Jiaozhou,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Jiaozhou is in China. This statement is:"
75,The city of Jiaozhou is in Latvia.,0,Jiaozhou,Latvia,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Jiaozhou is in Latvia. This statement is:"
76,The city of Guilin is in China.,1,Guilin,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Guilin is in China. This statement is:"
77,The city of Guilin is in the Dominican Republic.,0,Guilin,the Dominican Republic,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Guilin is in the Dominican Republic. This statement is:"
78,The city of Chaozhou is in China.,1,Chaozhou,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Chaozhou is in China. This statement is:"
79,The city of Chaozhou is in South Korea.,0,Chaozhou,South Korea,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Chaozhou is in South Korea. This statement is:"
80,The city of Panzhihua is in China.,1,Panzhihua,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Panzhihua is in China. This statement is:"
81,The city of Panzhihua is in Iran.,0,Panzhihua,Iran,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Panzhihua is in Iran. This statement is:"
82,The city of Bucaramanga is in Colombia.,1,Bucaramanga,Colombia,Colombia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bucaramanga is in Colombia. This statement is:"
83,The city of Bucaramanga is in Brazil.,0,Bucaramanga,Brazil,Colombia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bucaramanga is in Brazil. This statement is:"
84,The city of Niamey is in Niger.,1,Niamey,Niger,Niger,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Niamey is in Niger. This statement is:"
85,The city of Niamey is in China.,0,Niamey,China,Niger,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Niamey is in China. This statement is:"
86,The city of Sokoto is in Nigeria.,1,Sokoto,Nigeria,Nigeria,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Sokoto is in Nigeria. This statement is:"
87,The city of Sokoto is in South Korea.,0,Sokoto,South Korea,Nigeria,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Sokoto is in South Korea. This statement is:"
88,The city of Abuja is in Nigeria.,1,Abuja,Nigeria,Nigeria,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Abuja is in Nigeria. This statement is:"
89,The city of Abuja is in China.,0,Abuja,China,Nigeria,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Abuja is in China. This statement is:"
90,The city of South Tangerang is in Indonesia.,1,South Tangerang,Indonesia,Indonesia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of South Tangerang is in Indonesia. This statement is:"
91,The city of South Tangerang is in India.,0,South Tangerang,India,Indonesia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of South Tangerang is in India. This statement is:"
92,The city of Odesa is in Ukraine.,1,Odesa,Ukraine,Ukraine,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Odesa is in Ukraine. This statement is:"
93,The city of Odesa is in China.,0,Odesa,China,Ukraine,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Odesa is in China. This statement is:"
94,The city of Fort Worth is in the United States.,1,Fort Worth,the United States,the United States,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Fort Worth is in the United States. This statement is:"
95,The city of Fort Worth is in Russia.,0,Fort Worth,Russia,the United States,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Fort Worth is in Russia. This statement is:"
96,The city of Boumerdes is in Algeria.,1,Boumerdes,Algeria,Algeria,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Boumerdes is in Algeria. This statement is:"
97,The city of Boumerdes is in Iran.,0,Boumerdes,Iran,Algeria,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Boumerdes is in Iran. This statement is:"
98,The city of Asmara is in Eritrea.,1,Asmara,Eritrea,Eritrea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Asmara is in Eritrea. This statement is:"
99,The city of Asmara is in Indonesia.,0,Asmara,Indonesia,Eritrea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Asmara is in Indonesia. This statement is:"
100,The city of Santiago de Queretaro is in Mexico.,1,Santiago de Queretaro,Mexico,Mexico,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Santiago de Queretaro is in Mexico. This statement is:"
101,The city of Santiago de Queretaro is in Ecuador.,0,Santiago de Queretaro,Ecuador,Mexico,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Santiago de Queretaro is in Ecuador. This statement is:"
102,The city of Perm is in Russia.,1,Perm,Russia,Russia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Perm is in Russia. This statement is:"
103,The city of Perm is in China.,0,Perm,China,Russia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Perm is in China. This statement is:"
104,The city of Jeddah is in Saudi Arabia.,1,Jeddah,Saudi Arabia,Saudi Arabia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Jeddah is in Saudi Arabia. This statement is:"
105,The city of Jeddah is in Myanmar.,0,Jeddah,Myanmar,Saudi Arabia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Jeddah is in Myanmar. This statement is:"
106,The city of Konya is in Turkey.,1,Konya,Turkey,Turkey,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Konya is in Turkey. This statement is:"
107,The city of Konya is in Russia.,0,Konya,Russia,Turkey,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Konya is in Russia. This statement is:"
108,The city of Macapa is in Brazil.,1,Macapa,Brazil,Brazil,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Macapa is in Brazil. This statement is:"
109,The city of Macapa is in China.,0,Macapa,China,Brazil,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Macapa is in China. This statement is:"
110,The city of Belo Horizonte is in Brazil.,1,Belo Horizonte,Brazil,Brazil,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Belo Horizonte is in Brazil. This statement is:"
111,The city of Belo Horizonte is in North Korea.,0,Belo Horizonte,North Korea,Brazil,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Belo Horizonte is in North Korea. This statement is:"
112,The city of Poznan is in Poland.,1,Poznan,Poland,Poland,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Poznan is in Poland. This statement is:"
113,The city of Poznan is in Mexico.,0,Poznan,Mexico,Poland,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Poznan is in Mexico. This statement is:"
114,The city of Linyi is in China.,1,Linyi,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Linyi is in China. This statement is:"
115,The city of Linyi is in Iraq.,0,Linyi,Iraq,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Linyi is in Iraq. This statement is:"
116,The city of Hohhot is in China.,1,Hohhot,China,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Hohhot is in China. This statement is:"
117,The city of Hohhot is in Indonesia.,0,Hohhot,Indonesia,China,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Hohhot is in Indonesia. This statement is:"
118,The city of Malacca is in Malaysia.,1,Malacca,Malaysia,Malaysia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Malacca is in Malaysia. This statement is:"
119,The city of Malacca is in China.,0,Malacca,China,Malaysia,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Malacca is in China. This statement is:"
120,The city of Busan is in South Korea.,1,Busan,South Korea,South Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Busan is in South Korea. This statement is:"
121,The city of Busan is in Brazil.,0,Busan,Brazil,South Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Busan is in Brazil. This statement is:"
122,The city of Seongnam-si is in South Korea.,1,Seongnam-si,South Korea,South Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Seongnam-si is in South Korea. This statement is:"
123,The city of Seongnam-si is in Russia.,0,Seongnam-si,Russia,South Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Seongnam-si is in Russia. This statement is:"
124,The city of Matsuyama is in Japan.,1,Matsuyama,Japan,Japan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Matsuyama is in Japan. This statement is:"
125,The city of Matsuyama is in Burkina Faso.,0,Matsuyama,Burkina Faso,Japan,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Matsuyama is in Burkina Faso. This statement is:"
126,The city of Suwon is in South Korea.,1,Suwon,South Korea,South Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Suwon is in South Korea. This statement is:"
127,The city of Suwon is in Russia.,0,Suwon,Russia,South Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Suwon is in Russia. This statement is:"
128,The city of Incheon is in South Korea.,1,Incheon,South Korea,South Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Incheon is in South Korea. This statement is:"
129,The city of Incheon is in India.,0,Incheon,India,South Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Incheon is in India. This statement is:"
130,The city of Hwaseong-si is in South Korea.,1,Hwaseong-si,South Korea,South Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Hwaseong-si is in South Korea. This statement is:"
131,The city of Hwaseong-si is in Brazil.,0,Hwaseong-si,Brazil,South Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Hwaseong-si is in Brazil. This statement is:"
132,The city of Changwon is in South Korea.,1,Changwon,South Korea,South Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Changwon is in South Korea. This statement is:"
133,The city of Changwon is in Indonesia.,0,Changwon,Indonesia,South Korea,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Changwon is in Indonesia. This statement is:"
134,The city of Bamako is in Mali.,1,Bamako,Mali,Mali,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bamako is in Mali. This statement is:"
135,The city of Bamako is in India.,0,Bamako,India,Mali,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Bamako is in India. This statement is:"
136,The city of Acapulco de Juarez is in Mexico.,1,Acapulco de Juarez,Mexico,Mexico,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Acapulco de Juarez is in Mexico. This statement is:"
137,The city of Acapulco de Juarez is in Morocco.,0,Acapulco de Juarez,Morocco,Mexico,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Acapulco de Juarez is in Morocco. This statement is:"
138,The city of Mosul is in Iraq.,1,Mosul,Iraq,Iraq,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Mosul is in Iraq. This statement is:"
139,The city of Mosul is in China.,0,Mosul,China,Iraq,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Mosul is in China. This statement is:"
140,The city of Basrah is in Iraq.,1,Basrah,Iraq,Iraq,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Basrah is in Iraq. This statement is:"
141,The city of Basrah is in China.,0,Basrah,China,Iraq,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Basrah is in China. This statement is:"
142,The city of Qom is in Iran.,1,Qom,Iran,Iran,"The city of Oakland is not in the United States. This statement is: False
The city of Canberra is in Australia. This statement is: True
The city of Qom is in Iran. This statement is:"
